YEAR,COUNTRY,TotalIncidents,IncidentsForPopulation
2018,Denmark,50222,0.87
2018,Germany,877898,1.06
2018,Estonia,6242,0.48
2018,Ireland,18124,0.37
2018,Greece,4530,0.04
2018,Spain,465550,0.99
2018,France,772452,1.15
2018,Croatia,12091,0.29
2018,Italy,292026,0.49
2018,Cyprus,2156,0.18
2018,Latvia,2198,0.11
2018,Lithuania,3871,0.14
2018,Luxembourg,7331,1.18
2018,Hungary,23589,0.24
2018,Malta,2005,0.46
2018,Netherlands,91224,0.52
2018,Austria,63353,0.71
2018,Poland,78160,0.21
2018,Portugal,130537,1.27
2018,Romania,4858,0.02
2018,Slovenia,13141,0.63
2018,Slovakia,10185,0.19
2018,Finland,41063,0.75
2018,Sweden,36507,0.35
2018,Iceland,1389,0.39
2018,Norway,10562,0.20
2018,Switzerland,92941,1.09
2018,United Kingdom,221234,0.34
2019,Belgium,68793,0.63
2019,Bulgaria,2247,0.03
2019,Czechia,42416,0.40
2019,Denmark,50218,0.87
2019,Germany,867949,1.05
2019,Estonia,6195,0.48
2019,Ireland,13293,0.27
2019,Greece,5162,0.05
2019,Spain,489990,1.04
2019,France,779623,1.16
2019,Croatia,10416,0.25
2019,Italy,289774,0.48
2019,Cyprus,2168,0.18
2019,Latvia,2274,0.11
2019,Lithuania,4703,0.17
2019,Luxembourg,7282,1.17
2019,Hungary,23886,0.25
2019,Malta,2205,0.50
2019,Netherlands,92875,0.53
2019,Austria,61015,0.69
2019,Poland,81486,0.21
2019,Portugal,131821,1.28
2019,Romania,4936,0.03
2019,Slovenia,13080,0.62
2019,Slovakia,9699,0.18
2019,Finland,40132,0.73
2019,Sweden,40720,0.40
2019,Iceland,1323,0.37
2019,Norway,9976,0.18
2019,Switzerland,95310,1.12
2019,United Kingdom,,0.00
2020,Belgium,56531,0.51
2020,Bulgaria,1908,0.03
2020,Czechia,35071,0.33
2020,Denmark,74510,1.28
2020,Germany,766563,0.92
2020,Estonia,5232,0.40
2020,Ireland,12114,0.25
2020,Greece,3997,0.04
2020,Spain,388866,0.83
2020,France,624195,0.93
2020,Croatia,8611,0.21
2020,Italy,324459,0.54
2020,Cyprus,1527,0.13
2020,Latvia,2016,0.10
2020,Lithuania,3850,0.14
2020,Luxembourg,6002,0.97
2020,Hungary,24274,0.25
2020,Malta,1557,0.35
2020,Netherlands,76880,0.44
2020,Austria,51116,0.57
2020,Poland,62338,0.16
2020,Portugal,108903,1.06
2020,Romania,4135,0.02
2020,Slovenia,16889,0.80
2020,Slovakia,7889,0.15
2020,Finland,29608,0.54
2020,Sweden,39882,0.39
2020,Iceland,1079,0.30
2020,Norway,9694,0.18
2020,Switzerland,87584,1.03
2020,United Kingdom,,0.00
